season,club_name,avg(attacking_short_passing),avg(shooting),avg(power_stamina),avg(skill_long_passing),avg(power_strength),avg(defending_standing_tackle),avg(skill_fk_accuracy),avg(skill_dribbling),avg(dribbling),avg(pace),avg(mentality_aggression),avg(movement_reactions),avg(movement_sprint_speed),avg(passing),avg(movement_acceleration),avg(attacking_heading_accuracy),avg(attacking_finishing),avg(defending),avg(attacking_crossing),avg(power_long_shots),avg(mentality_penalties),avg(power_shot_power),avg(physic),avg(skill_ball_control),year,league,club_name_ext,points,place
15,Atlético Madrid,72.95454545454545,60.90909090909091,75.13636363636364,67.54545454545455,69.0,62.45454545454545,56.40909090909091,69.27272727272727,71.18181818181819,73.68181818181819,70.81818181818181,74.31818181818181,74.27272727272727,67.31818181818181,72.81818181818181,67.13636363636364,58.59090909090909,60.90909090909091,64.81818181818181,60.54545454545455,57.72727272727273,69.0,71.0909090909091,74.54545454545455,15,Spain Primera Division,Atlético Madrid,88.0,3
16,Atlético Madrid,73.44,61.92,69.12,66.28,66.36,60.28,60.0,68.48,70.92,71.68,66.2,74.56,72.24,67.76,71.04,65.36,59.12,57.96,64.24,62.28,57.68,70.36,67.32,74.4,16,Spain Primera Division,Atlético Madrid,78.0,3
16,Swansea City,66.37931034482759,55.724137931034484,68.3103448275862,58.48275862068966,68.44827586206897,54.58620689655172,43.89655172413793,64.89655172413794,65.41379310344827,68.55172413793103,58.793103448275865,64.96551724137932,69.34482758620689,59.689655172413794,67.72413793103448,60.241379310344826,54.6551724137931,52.41379310344828,55.10344827586207,51.689655172413794,55.0,62.96551724137931,66.37931034482759,66.44827586206897,16,English Premier League,Swansea City,41.0,15
16,AS Saint-Étienne,69.14285714285714,58.642857142857146,71.78571428571429,63.214285714285715,73.17857142857143,61.75,55.035714285714285,66.17857142857143,66.71428571428571,68.85714285714286,67.10714285714286,67.32142857142857,69.0,64.46428571428571,68.60714285714286,63.285714285714285,56.142857142857146,60.535714285714285,64.21428571428571,59.07142857142857,56.0,65.57142857142857,71.5,67.46428571428571,16,French Ligue 1,AS Saint-Étienne,50.0,8
18,Bournemouth,65.7,55.333333333333336,66.13333333333334,58.6,63.53333333333333,55.2,53.03333333333333,65.76666666666667,66.7,67.03333333333333,60.96666666666667,65.36666666666666,66.66666666666667,61.233333333333334,67.53333333333333,57.733333333333334,52.06666666666667,53.666666666666664,58.5,55.5,55.63333333333333,63.233333333333334,63.833333333333336,67.6,18,English Premier League,Bournemouth,45.0,14
20,Real Madrid,77.03571428571429,67.53571428571429,76.03571428571429,70.5,68.64285714285714,56.142857142857146,59.57142857142857,77.25,77.96428571428571,76.5,64.14285714285714,77.75,76.53571428571429,72.28571428571429,76.42857142857143,65.60714285714286,66.17857142857143,57.285714285714285,69.35714285714286,67.03571428571429,63.32142857142857,72.28571428571429,69.64285714285714,80.39285714285714,20,Spain Primera Division,Real Madrid,84.0,2
20,LOSC Lille,67.23333333333333,53.766666666666666,64.43333333333334,60.2,65.06666666666666,56.46666666666667,47.5,65.13333333333334,66.3,68.43333333333334,62.833333333333336,65.63333333333334,68.76666666666667,60.833333333333336,68.1,61.4,50.93333333333333,54.56666666666667,56.233333333333334,52.5,55.6,61.13333333333333,64.4,67.83333333333333,20,French Ligue 1,LOSC Lille,83.0,1
20,FC Utrecht,67.41666666666667,57.458333333333336,69.875,62.666666666666664,64.125,52.416666666666664,50.041666666666664,66.95833333333333,68.54166666666667,72.0,62.25,66.45833333333333,72.33333333333333,62.291666666666664,71.5,56.416666666666664,54.125,53.125,59.5,57.75,56.208333333333336,65.79166666666667,65.25,70.08333333333333,20,Holland Eredivisie,FC Utrecht,53.0,6
17,FC Barcelona,81.54545454545455,70.13636363636364,75.72727272727273,73.95454545454545,68.13636363636364,65.13636363636364,64.27272727272727,78.5,79.45454545454545,76.22727272727273,68.0909090909091,81.4090909090909,75.77272727272727,75.9090909090909,76.9090909090909,64.31818181818181,68.4090909090909,62.95454545454545,71.77272727272727,69.72727272727273,65.27272727272727,75.72727272727273,70.18181818181819,82.4090909090909,17,Spain Primera Division,FC Barcelona,93.0,1
19,Paris Saint-Germain,75.26666666666667,58.46666666666667,72.4,68.36666666666666,64.63333333333334,64.4,53.9,73.43333333333334,74.76666666666667,75.2,67.7,73.13333333333334,75.13333333333334,69.5,75.33333333333333,65.06666666666666,55.53333333333333,62.7,68.26666666666667,57.333333333333336,57.3,65.36666666666666,67.36666666666666,76.7,19,French Ligue 1,Paris Saint-Germain,68.0,1
